topic,document,Topic_words
12,Nandhi Universal Black Sporty Car Antenna Car Antenna Will Fit For All Your Cars And Suv For Better And Sporty Look'S Stylish Embossed Full Metal Antenna For Your Cars And Suv Adjustable Up To 180° And Also This Has Allen Key For Easy Installation So You Can Do It Yourself (Diy). And This Sporty Antenna Can Be Install For Bonnet Or Boot Door (As You Like),"['aux cable', 'usb charger', 'secro cables']"
3,"Casa Decor Pack of 6 Ceramic Pumpkin Decorative Antique Door Knobs- Pulls for Cabinet/Girls Dresser/Kids Cupboard/Kitchen Drawer Handles with Hardware Attached (Turquoise) Our unique knobs collection can be used for updating the furniture or refurbishing a kitchen cabinet. This knobs are mostly hand painted. We offer pantone color variations, prints & transfers and bespoke paint patterns. We have showcased a small selection of the knobs that have been done in the past. These ceramic are knobs are glazed & baked to specific temperatures to experience truer colors. They are produced in various shapes & sizing with vibrant color patterns.So, buy knobs online today and give a perfect look to your furniture.","['furniture', 'sheesham wood', 'table chair']"
4,"Shaarq K1 Universal Wireless Bluetooth Earpiece, Smart Call Answering Earphone, for iOS, Android, Windows K1 BLUETOOTH HEADSET Have fun using this High-Quality, durable and unique design Earphone. A Sweatproof design for athletes so you can enjoy your exercise or any sports you do. Enjoy your walk in the park or busy working in the office. You can enjoy listening to music due to the large battery capacity, 6X more than an ordinary Bluetooth headset and it can connect 2 mobile phones or Bluetooth devices.  Features: Other Functions:Play/Pause: Press button onceAnswer/Hang up Phone Call/To Broadcast: Press button onceReject Phone Call: Long press button for 2-3 seconds BUY NOW ONE YEAR WARRANTY","['bluetooth', 'wireless bluetooth', 'mp3 player']"
-1,"Quality Glass Silver Horizontal Decorative Wall Mirror for | Living Room Wall Mirror | Mirror for bathrooms | Mirror in Home | Decorative Mirror | Modern Mirror | Mirror Size : 26""x36"" Inches NMM 169 Quality Glass Modern Decorative Wall Mirror Manufacture by Skield Workers 5mm Saint Gobain Mirror Used For Living Room , Drawing Room Clear Cut Finish and Ready to Hang . Brand - Quality Glass","['bag', 'bean bag', 'cotton']"
-1,The Advanced Photography Guide ,"['bag', 'bean bag', 'cotton']"
-1,celebrationsgifts Crystal with Gold Taj Mahal Miniature Show Piece ' Taj Mahal '' in India is one amongst The Seven Wonders of The World. It is an Amazing Crystal made Show piece with Mirror effects.Very Unique for decoration purpose. Made of metal with crystal base. Comes in Golden colour with Multicolour Glass Base. Size: LxBxH: Size: 9x9x9 Cm,"['bag', 'bean bag', 'cotton']"
6,"Ramayana - C.R. About the Author C. Rajagopalachari was an Indian lawyer, independence activists, politician, writer and statesman. He was the last Governor General of India and has served as leader of the Indian National Congress, Premier of the Madras Presidency and Governor of West Bengal.","['dharma', 'mahabharata', 'hindu']"
13,"How to Win Friends and Influence People Review ""it changed my life"" (Warren Buffet)<br \><br \>""The most successful self-help book of all time... Carnegie has never seemed more relevant"" (The Times) --The Times""It's helped me immeasurably in life. I think everyone should read it"" (Jenny Colgan, Independent on Sunday) --Independent on Sunday)""a no-nonsense guide to being a better person...an easy-to-read, practical guide"" (Spirit and Destiny) --Spirit and Destiny) 				    	 					 About the Author An American writer, lecturer and the developer of famous courses in self-improvement, salesmanship, corporate training, public speaking and interpersonal skills. Public Speaking: A Practical Course for Business Men (1926) was the first collection of Carnegie’s writings. It was later entitled Public Speaking and Influencing Men in Business (1932). How to Win Friends and Influence People, when published by Simon and Schuster in 1936, became an instant best-seller and was his crowning achievement. Containing practical advice on how to create success in business and personal lives, this four-part book is a tool used in Dale Carnegie Training. The book had sold five million copies in thirty-one languages by the time of Carnegie’s death.Carnegie served in the U.S. Army during the First World War. In 1931, his first marriage ended in divorce and in 1944, he married Dorothy Price Vanderpool. Carnegie died in 1955 aged sixty-six at his home in Forest Hills, New York and was buried in the Belton, Cass County, Missouri, cemetery.","['dale carnegie', 'creative confidence', 'carnegie']"
2,"Prayas GST, For CA, CS, CMA (Final) 2019 Examination Prayas GST, For CA, CS, CMA (Final) 2019 Examination with Chapterwise Summary Chart","['designed exam', 'professionals arihant', 'exam oriented']"
-1,"Everything You Need to Ace Science in One Big Fat Notebook: The Complete Middle School Study Guide (Big Fat Notebooks) From the Back Cover From the editors of BRAIN QUEST: Americas #1 educational bestseller! This BIG FAT NOTEBOOK makes all the stuff you learn in school SINK IN withkey conceptsmnemonic devicesdefinitionstimelinesand doodlesto help you get BETTER GRADES!Including:ExperimentsMatter, Chemical Reactions, and SolutionsThe Periodic TableAtomsForces and WorkEnergyElectricity and MagnetismThe EarthMinerals and RocksWeather and ClimateCellsGeneticsFossilsThe Solar SystemEcology and EcosystemsPlants and AnimalsThe Human Body About the Author Workman Publishing Company has been producing award-winning calendars, cookbooks, parenting guides, and children's titles, as well as gardening, humor, self-help, and business books, since 1968. From our What to Expect(R) pregnancy and parenting series and Page-A-Day(R) Calendars to the iconic 1,000 Places to See Before You Die(R) and Brain Quest(R) children's products, our wide range of high-quality non-fiction titles and products inspire, educate, and entertain readers around the globe.","['bag', 'bean bag', 'cotton']"
-1,Amante Satin Edge Bikini Brief This low-rise brief from the amanté Glamour range comprises of microfibre fabrication that gives it a smooth look. The 100% cotton gusset liner makes it suitable for everyday wear.,"['bag', 'bean bag', 'cotton']"
-1,"Introduction to Computer Security, 1e ","['bag', 'bean bag', 'cotton']"
-1,"Wish Karo Baby Girls Party Wear Frock Dress (Pink/red/Gold/Silver-Net) Your Little angel will look classy when you dress her up in this beautiful elegant dress from Wish Karo. It has soft net and non pricky. Ideal for all party occasions, birthday, festive and gifting . Wish Karo has an excellent collection of Baby Girls Party wear dresses like Gowns, long frocks, premium Lycra dresses, Ethnic Lehenga - Ghaghara Cholis as well as Silver jewelry and articles","['bag', 'bean bag', 'cotton']"
0,Delta Spiderman Twin Bed Spiderman twin bed. This is a Delta Spiderman Twin Bed for kids.,"['slim fit', 'sweatshirt', 'regular fit']"
-1,"Rupa Jon Women's Cotton Camisole (Pack of 5)(Colors May Vary) Tough times don’t last. Tough people do. And they are usually found in a pair of Jon innerwear. That’s because Jon is a good play of quality and affordability. Special stitching is used on 100% fine cotton. The result? Total comfort and total durability. Thoughtfully designed with a double-pouch, and imported rubber elastic (in drawers) Jon is a product par excellence. The Jon range includes Jon vests, Jon drawers, Aishwarya panties, slips and kids’ innerwear (vests, briefs and drawers).","['bag', 'bean bag', 'cotton']"
6,"Rehrās Sahib & Sohila: Way to God in Sikhism  - Book 4 About the Author Maneshwar S. Chahal has an honors degree in English Literature, a degree in Engineering and a Masters in Public Administration. He has been an army officer, a senior bureaucrat in the IAS, CMD of the Punjab & Sind Bank, and a member of the State Human Rights Commission in Punjab. In the midst of these multifarious roles, he has continued to be a deeply devoted student of Spirituality, especially of the intensely humanistic Sikh Religion. His series ‘Way to God in Sikhism’ offers a lucid and easy-to-understand delineation of the Spiritual path in the context of the Sikh belief system. Starting with the Japji Sahib, it has been warmly welcomed and much appreciated by scholars and lay readers alike. Chahal lives in Chandigarh.","['dharma', 'mahabharata', 'hindu']"
2,"Sun Certified Enterprise Architecture for J2EE Technology Study Guide From the Back Cover The only study guide written by the lead developers and assessors of the architect exam.The first officially authorized study guide for the challenging Sun Certified Enterprise Architect for Java 2 Platform, Enterprise Edition exams. Java platform experts Cade and Roberts provide expert guidance and background for designing effective J2EETM technology architectures―as well as comprehensive preparation for every exam element: multiple-choice exam, assignment, and essay. You'll find start-to-finish coverage of key J2EE platform architectural issues and every exam objective, including: Understanding the goals of system architecture Creating requirements and architectural documents that serve as blueprints for the entire development process Leveraging proven design patterns Identifying the right J2EE technologies and APIs for your application Maximizing security and accounting for firewalls in enterprise environments Providing legacy access: appropriate techniques and errors to avoid Using the Enterprise JavaBeansTM architecture Container Model to maximize scalability Evaluating the advantages and weaknesses of existing architecturesEndorsed as a study guide for the Sun Certified Enterprise Architect for J2EE Technology exam by Sun Educational Services. About the Author MARK CADE has 15 years of experience as a software engineer. Currently, he works at the Sun Microsystems Java Center as a Senior Java Architect, where he has extensive experience creating architectures for J2EE solutions for Fortune 500 companies. Cade is lead developer and assessor of the Sun Certified Enterprise Architect for J2EE exam. SIMON ROBERTS has worked in the software development and training industries for nearly twenty years. He is a team lead on the programmer and developer certification projects. Roberts is co-author of The Complete Java 2 Certification Study Guide with Philip Heller and Michael Ernest, and The Java 2 Developer's Handbook with Philip Heller.","['designed exam', 'professionals arihant', 'exam oriented']"
-1,"eerafashionicing Light Gold Leaf Patches -20 Pieces for Craft Home Decor Designing Hobby Dresses (Light Golden) The embroidered patches good for cloth, jackets, vests, jeans, blouses, pants, t-shirts, skirts, hats, shoes. It can not only be a patch to repair your clothes, hats or more, but also can be a cool decoration. Fantastic decoration for you. Furthermore, the patches are easy to sew or iron on all sorts of fabric.","['bag', 'bean bag', 'cotton']"
9,"Decora Craft Buddha Backflow Smoke Fountain with Scented Cone Incenses (Blue, Standard Size)","['tealights', 'tea light', 'tealight']"
-1,"Ameto Sew Easy Home Sewing Kit A complete kit to take care of home sewing needs containing everything from Ameto threads in 8 different colours to 2 different sized needles, buttons, ladies hooks, needle threader.","['bag', 'bean bag', 'cotton']"
-1,Creature Uv Protected Wayfarer Unisex Sunglasses(Doit-001|53|Purple) One of the amazing accessories to enhance your style statement is sunglasses. They are trendy and never really go out of style. Made of polycarbonate material our products are ergonomically designed to give you a comfortable head hugging fit. Thus providing all-day wearing comfort. Sunglasses by Creature have been designed keeping your comfort and care as our first priority. These Wayfarer sunglasses are really light and have been made of high quality frame with Stunning Looks & Flashy Colors. Creature sunglasses give you 100% protection against harmful UVA/UVB rays and are polarized for your eye care. Stay young.,"['bag', 'bean bag', 'cotton']"
-1,"YANTRALAY SCHOOL OF GADGETS 2 in 1 Head Strap and Chest Mount for GoPro, SJCAM, Yi, Action Cameras Features:   Compatible with GoPro, SJCAM, EKEN, Yi & Other Action cameras Chest Harness for your quick-release HERO camera. Easily adjustable, can Adjustable to fit all sizes. Construction: Elastic straps.","['bag', 'bean bag', 'cotton']"
-1,"VIMAL Winter King Thermal Mens Bottom This Winter Fight with Harsh Winters By Wearing Winter King Thermal By Vimal.This Garments Makes You Feel Wrapped Up Nicely With Soft Handfeel And Hence, Keeping The Winter Chill Out. This Is A Must Have Addition To Your Winter Wardrobe.","['bag', 'bean bag', 'cotton']"
-1,"AirCase GPS -Premium Edition 2.5-Inch External Hard Drive Case (Gray) Colour: grey, protects your hard drive case:, carry your hard drive securely in this hard drive carry case pouch. It protects your hard drive from dust, scuffs, scratches, shocks and bumps, carrying a hard disk in this pouch also ensures that it stays protected from accidental falls. This cover pouch is ideal for a 2.5"" hard drive. So, you can conveniently tuck any hard disk of this size into this pouch, irrespective of the make, this hdd case travel pouch for hard drive is a good option to ensure the safety of your storage device, internal strap to keep your hdd secure:, the innovative design of this travel pouch for 2.5"" hard drive makes it both convenient and useful. Made of good-quality material, the pouch is durable and will last you a long time. With the perfect quality zipper, this pouch lets you conveniently take out and put in the drive, additionally, the carry case features an internal strap that keeps your device safely in place. You can also store smaller articles and usb drives in its handy mesh pocket on the inside., maximum protection - eva shell:, this hard drive protection box with high quality material is ultimate bodyguard for your hard drive, features:, protect your portable hard disk drive, store your necessary usb cords, pen-drives, power bank and never lose a single byte of your precious data. Hard case made of sturdy and durable nylon material. Stylish and lightweight, high quality zipper:, high quality rubber material, long lasting zipper, perfect fit and that is unbreakable, compatible for: wd elements/ wd my passport ultra/ Seagate back up plus slim/ transcend storejet/ Toshiba canvio basics and compatibility with western digital, Seagate, Sony, transcend, adata, Hitachi, iomega, Toshiba, dell, Lenovo, hp and other 2.5 inch hard drive disk, product weight: 65gm, warranty: 1 year manufacturing defects replacement warranty.","['bag', 'bean bag', 'cotton']"
-1,"The Big Pancake: Read it Yourself with Ladybird (Level1) About the Author Ladybird brings together characters from well-loved children’s TV shows such as Peppa Pig, In the Night Garden, Ben and Holly and the lively twosome Topsy and Tim; plus a whole host of fairy tale favourites like Cinderella and Pinocchio.Sharing a Ladybird story with your child is a great way to start exploring the big, wide world. Whether they’re discovered through snuggly bedtime favourites, buggy books that accompany adventures or fun apps for playtime, really great stories open up whole new worlds and spark imagination, creativity and curiosity.","['bag', 'bean bag', 'cotton']"
0,Cherokee by Unlimited Boys' Regular Fit Shorts Cherokee apparel junior shorts. It is made of 100% cotton twill fabric with printed pattern.,"['slim fit', 'sweatshirt', 'regular fit']"
0,"Jockey Men's Cotton Track Pants Feel at ease with this branded and comfortable Track pants for men from Jockey. fine knitting to provide best fit to your body contours, the comfort it provides has no match.","['slim fit', 'sweatshirt', 'regular fit']"
7,DearJoy Baby Kick and Play Gym with Mosquito Net and Baby Bedding Set (Blue Bunny Print),"['baby thermal', 'thermal vest', 'clothes']"
10,"iBELL IBL CADIE T2 Table Fan 55-Watt 3 Leaf The iBELL Table fan helps you bear soaring summer temperatures. With the powerful motor, this fan keeps your home well ventilated and cool. It also provides instant cooling. You can conveniently move this portable fan around your home and install it in any of your rooms. Featuring Three broad blades, the fan increases the airflow in the room. The iBELL Fan produces jerk-free, uniform oscillations at all the speeds. Designed for Indian weather conditions, the Table fan easily withstands voltage fluctuations. It sports a modern design that is brightened by a shade of white.","['led fan', 'table fan', 'cooling fan']"
10,Aironx???? Memory Foam 3D Ergonomically Designed Non-Slip Mouse Pad with Gel Wrist Rest Support for Desktops and Laptops(Black) Aironx mouse pad with gel wrist rest supportMaterial : lycraProduct features :- better experience while longtime gaming or working.- always keep your wrist in best position.- help to relif of joint stress.- avoid joint and wrist problems.CompatibilityAll types of computer and laptop,"['led fan', 'table fan', 'cooling fan']"
