neg,neu,pos,compound,sentiment
0.019,0.83,0.151,0.9287,Positive
0.0,0.665,0.335,0.987,Positive
0.041,0.885,0.074,0.2732,Positive
0.0,0.695,0.305,0.995,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,1.0,0.0,0.0,Neutral
0.071,0.794,0.136,0.5719,Positive
0.0,0.847,0.153,0.7003,Positive
0.0,0.94,0.06,0.9106,Positive
0.0,0.879,0.121,0.7096,Positive
0.0,0.896,0.104,0.5267,Positive
0.0,0.769,0.231,0.2023,Positive
0.027,0.828,0.145,0.9747,Positive
0.0,0.753,0.247,0.9955,Positive
0.0,1.0,0.0,0.0,Neutral
0.039,0.733,0.229,0.9975,Positive
0.0,0.912,0.088,0.4404,Positive
0.0,0.593,0.407,0.9859,Positive
0.02,0.9,0.08,0.8219,Positive
0.0,0.828,0.172,0.3612,Positive
0.0,0.704,0.296,0.7096,Positive
0.03,0.783,0.187,0.9867,Positive
0.0,1.0,0.0,0.0,Neutral
0.054,0.792,0.154,0.9493,Positive
0.0,0.836,0.164,0.6908,Positive
0.048,0.794,0.158,0.9374,Positive
0.0,0.834,0.166,0.9442,Positive
0.0,0.878,0.122,0.9706,Positive
0.03,0.935,0.035,0.1027,Positive
0.0,0.824,0.176,0.9571,Positive
0.0,0.836,0.164,0.7574,Positive
0.0,0.837,0.163,0.4767,Positive
0.008,0.862,0.13,0.9814,Positive
0.0,0.829,0.171,0.9893,Positive
0.045,0.909,0.045,0.0,Neutral
0.0,0.698,0.302,0.7964,Positive
0.012,0.697,0.291,0.9847,Positive
0.0,0.895,0.105,0.6486,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.736,0.264,0.9287,Positive
0.013,0.956,0.031,0.2732,Positive
0.0,0.693,0.307,0.9451,Positive
0.0,0.921,0.079,0.8286,Positive
0.026,0.943,0.03,0.0772,Positive
0.0,0.591,0.409,0.9812,Positive
0.021,0.852,0.127,0.9423,Positive
0.0,0.589,0.411,0.9573,Positive
0.024,0.933,0.044,0.25,Positive
0.0,1.0,0.0,0.0,Neutral
0.058,0.746,0.196,0.9646,Positive
0.0,0.64,0.36,0.9517,Positive
0.069,0.906,0.025,-0.4939,Negative
0.0,0.795,0.205,0.9403,Positive
0.0,0.919,0.081,0.4767,Positive
0.0,1.0,0.0,0.0,Neutral
0.063,0.795,0.142,0.6486,Positive
0.0,0.867,0.133,0.8481,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.815,0.185,0.9231,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.827,0.173,0.7906,Positive
0.021,0.872,0.108,0.886,Positive
0.0,0.621,0.379,0.7717,Positive
0.061,0.828,0.111,0.296,Positive
0.0,0.723,0.277,0.9892,Positive
0.0,0.866,0.134,0.9493,Positive
0.007,0.769,0.224,0.9978,Positive
0.0,0.881,0.119,0.9042,Positive
0.0,0.897,0.103,0.4767,Positive
0.008,0.826,0.166,0.9887,Positive
0.0,0.927,0.073,0.5859,Positive
0.0,0.85,0.15,0.969,Positive
0.0,0.773,0.227,0.9598,Positive
0.0,0.616,0.384,0.9914,Positive
0.039,0.899,0.062,0.3915,Positive
0.0,0.93,0.07,0.4767,Positive
0.036,0.793,0.171,0.936,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.894,0.106,0.5267,Positive
0.0,0.939,0.061,0.8612,Positive
0.017,0.785,0.198,0.9778,Positive
0.0,1.0,0.0,0.0,Neutral
0.018,0.748,0.234,0.9942,Positive
0.014,0.943,0.043,0.4767,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,1.0,0.0,0.0,Neutral
0.118,0.507,0.375,0.6166,Positive
0.0,0.801,0.199,0.9545,Positive
0.0,0.782,0.218,0.836,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.826,0.174,0.9806,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.623,0.377,0.981,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.73,0.27,0.9965,Positive
0.0,0.611,0.389,0.959,Positive
0.02,0.782,0.198,0.9628,Positive
0.048,0.705,0.247,0.8885,Positive
0.0,0.879,0.121,0.7096,Positive
0.0,0.928,0.072,0.3612,Positive
0.051,0.849,0.1,0.9667,Positive
0.031,0.844,0.125,0.993,Positive
0.042,0.805,0.153,0.9177,Positive
0.045,0.682,0.273,0.9186,Positive
0.028,0.871,0.101,0.8663,Positive
0.027,0.808,0.165,0.9648,Positive
0.365,0.635,0.0,-0.3182,Negative
0.0,0.811,0.189,0.936,Positive
0.0,0.971,0.029,0.0772,Positive
0.044,0.84,0.116,0.5859,Positive
0.0,0.805,0.195,0.9747,Positive
0.0,0.899,0.101,0.2023,Positive
0.072,0.819,0.109,0.2732,Positive
0.0,0.719,0.281,0.802,Positive
0.0,0.929,0.071,0.4404,Positive
0.012,0.816,0.173,0.979,Positive
0.0,1.0,0.0,0.0,Neutral
0.014,0.807,0.179,0.9867,Positive
0.021,0.828,0.151,0.9761,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,1.0,0.0,0.0,Neutral
0.0,0.886,0.114,0.9141,Positive
0.0,0.787,0.213,0.4019,Positive
0.0,0.961,0.039,0.4767,Positive
0.0,0.726,0.274,0.7783,Positive
0.0,0.82,0.18,0.994,Positive
0.009,0.896,0.095,0.9144,Positive
0.077,0.695,0.228,0.979,Positive
0.0,0.927,0.073,0.7269,Positive
0.019,0.796,0.184,0.9835,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,1.0,0.0,0.0,Neutral
0.0,1.0,0.0,0.0,Neutral
0.0,1.0,0.0,0.0,Neutral
0.0,0.852,0.148,0.9201,Positive
0.051,0.76,0.188,0.9022,Positive
0.049,0.899,0.052,0.0516,Positive
0.034,0.939,0.028,0.1477,Positive
0.0,0.874,0.126,0.8658,Positive
0.04,0.906,0.054,0.2617,Positive
0.0,0.845,0.155,0.8807,Positive
0.019,0.796,0.184,0.9835,Positive
